catchment_id,best_kge,CalChanMan1,CalChanMan3,GwLoss,GwPercValue,UpperZoneTimeConstant,LowerZoneTimeConstant,LZThreshold,PowerPrefFlow,SnowMeltCoef,b_Xinanjiang,TransSub
85.0,0.5361343261683404,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
128.0,0.3202957063361946,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
202.0,0.5544706104737903,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
207.0,0.5329702191697145,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
263.0,0.5138236859800472,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
284.0,0.47587867339407497,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
286.0,0.5127606124741617,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
309.0,0.38944439097540584,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
349.0,0.5888688916336192,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
372.0,0.6178227666652557,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
487.0,0.5123112845342873,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
498.0,0.5857829467845207,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
519.0,0.42662513083432174,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
559.0,0.5045903441305124,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
642.0,0.2320602645176785,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
780.0,0.45712997156518825,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
788.0,0.5005029629752904,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
790.0,0.3022802398603981,2.927205635538316,4.003819153837512,0.5303536721951775,0.011138073294607576,12.973000719616877,53.43895224622429,27.87295848793851,7.090414083673882,5.826662117444718,1.5444954857592805,0.008688774974128132
792.0,0.5385328802175174,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
793.0,0.5125600566059553,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
800.0,0.583391367990126,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
968.0,0.22149467414015095,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
1006.0,0.59535688565281,1.6189535026412853,1.3559400879836518,0.4486135478331319,0.8495444632704643,11.149020335230949,212.36644903864934,27.697967978280385,3.823480587900927,5.945396419047322,2.756123309124742,0.007588249428732185
1011.0,0.5472376691273735,4.4510431964181825,4.761272503840973,0.08565345206787878,0.9771210220000615,2.7778086135506603,564.8154940274898,22.975032879209632,1.462935983748221,4.401129512394926,2.75351993153977,0.039758494341008865
1056.0,0.5151214685084282,3.377420593060477,0.6125483985020013,0.27502931836911926,0.4541893689161573,29.46148385441886,506.9226463218088,26.765387031145362,1.1520412447206212,4.187687278741082,0.15868812499597104,0.0327956962205405
